word-index,word,sentence-index,text-index,POS
1,BEING ,1,1,VERB
2,DRAWN ,1,1,VERB
3,TO ,1,1,PREP
4,AN ,1,1,ART
5,IMAGE,1,1,SUBST
1,Guy ,2,1,SUBST
2,Brett,2,1,SUBST
1,Why ,3,1,ADV
2,do ,3,1,VERB
3,certain ,3,1,ADJ
4,images ,3,1,SUBST
5,matter ,3,1,VERB
6,to ,3,1,PREP
7,one,3,1,ADJ
8,and ,3,1,CONJ
9,why ,3,1,ADV
10,is ,3,1,VERB
11,the ,3,1,ART
12,desire ,3,1,SUBST
13,to ,3,1,PREP
14,answer ,3,1,VERB
15,this ,3,1,ADJ
16,question ,3,1,SUBST
17,as ,3,1,ADV
18,involuntary ,3,1,ADJ
19,as ,3,1,CONJ
20,the ,3,1,ART
21,response ,3,1,SUBST
22,itself,3,1,PRON
1,Why ,4,1,ADV
2,does ,4,1,VERB
3,it ,4,1,PRON
4,seem ,4,1,VERB
5,important ,4,1,ADJ
6,that ,4,1,CONJ
7,the ,4,1,ART
8,answer ,4,1,SUBST
9,should ,4,1,VERB
10,have ,4,1,VERB
11,some ,4,1,ADJ
12,objective,4,1,ADJ
13,quality ,4,1,SUBST
14,about ,4,1,PREP
15,it,4,1,PRON
16,an ,4,1,ART
17,insight ,4,1,SUBST
18,into ,4,1,PREP
19,history,4,1,SUBST
20,society,4,1,SUBST
21,knowledge,4,1,SUBST
22,point ,4,1,VERB
23,to ,4,1,PREP
24,a ,4,1,ART
25,merely ,4,1,ADV
26,personal ,4,1,ADJ
27,obsession,4,1,SUBST
1,The ,5,1,ART
2,American ,5,1,ADJ
3,film-maker ,5,1,SUBST
4,Maya ,5,1,SUBST
5,Deren ,5,1,SUBST
6,says ,5,1,VERB
7,somewhere ,5,1,ADV
8,that ,5,1,ADJ
9,response ,5,1,SUBST
10,should ,5,1,VERB
11,always ,5,1,ADV
12,precede ,5,1,VERB
13,analysis,5,1,SUBST
14,a ,5,1,ART
15,remark ,5,1,SUBST
16,which ,5,1,PRON
17,sounds ,5,1,VERB
18,it ,5,1,PRON
19,was ,5,1,VERB
20,made ,5,1,VERB
21,as ,5,1,PREP
22,an ,5,1,ART
23,artist,5,1,SUBST
24,'s ,5,1,UNC
25,challenge ,5,1,SUBST
26,to ,5,1,PREP
27,academic ,5,1,ADJ
28,dryness ,5,1,SUBST
29,and ,5,1,CONJ
30,formalism,5,1,SUBST
1,But ,6,1,CONJ
2,is ,6,1,VERB
3,not ,6,1,ADV
4,the ,6,1,ART
5,response ,6,1,SUBST
6,and ,6,1,CONJ
7,the ,6,1,ART
8,analysis ,6,1,SUBST
9,actually ,6,1,ADV
10,part ,6,1,SUBST
11,of ,6,1,PREP
12,the ,6,1,ART
13,same ,6,1,ADJ
14,phenomenon,6,1,SUBST
15,whether ,6,1,CONJ
16,it ,6,1,PRON
17,results ,6,1,VERB
18,in ,6,1,PREP
19,an ,6,1,ART
20,exclamation ,6,1,SUBST
21,how ,6,1,ADV
22,beautiful,6,1,ADJ
23,',6,1,UNC
24,or ,6,1,CONJ
25,a ,6,1,ART
26,new ,6,1,ADJ
27,reading,6,1,SUBST
1,The ,7,1,ART
2,recourse ,7,1,SUBST
3,to ,7,1,PREP
4,books,7,1,SUBST
5,documents,7,1,SUBST
6,or ,7,1,CONJ
7,sources,7,1,SUBST
8,underscores ,7,1,VERB
9,a ,7,1,ART
10,perception ,7,1,SUBST
11,which ,7,1,PRON
12,is ,7,1,VERB
13,somehow ,7,1,ADV
14,already ,7,1,ADV
15,in ,7,1,PREP
16,the ,7,1,ART
17,air,7,1,SUBST
1,The ,8,1,ART
2,effort ,8,1,SUBST
3,to ,8,1,PREP
4,recapture ,8,1,VERB
5,art,8,1,SUBST
6,'s ,8,1,UNC
7,history,8,1,SUBST
8,is ,8,1,VERB
9,always ,8,1,ADV
10,entangled ,8,1,VERB
11,with ,8,1,PREP
12,the ,8,1,ART
13,desire ,8,1,SUBST
14,to ,8,1,PREP
15,remake ,8,1,VERB
16,its ,8,1,PRON
17,identity ,8,1,SUBST
18,and ,8,1,CONJ
19,meaning ,8,1,VERB
20,as ,8,1,PREP
21,part ,8,1,SUBST
22,of ,8,1,PREP
23,contemporary ,8,1,ADJ
24,struggles,8,1,SUBST
1,This ,9,1,ADJ
2,article ,9,1,SUBST
3,comes ,9,1,VERB
4,the ,9,1,ART
5,familiar ,9,1,ADJ
6,experience ,9,1,SUBST
7,of ,9,1,PREP
8,being ,9,1,VERB
9,drawn ,9,1,VERB
10,to ,9,1,PREP
11,a ,9,1,ART
12,particular ,9,1,ADJ
13,image,9,1,SUBST
14,or ,9,1,CONJ
15,set ,9,1,SUBST
16,of ,9,1,PREP
17,images,9,1,SUBST
18,without ,9,1,PREP
19,knowing ,9,1,VERB
20,why,9,1,ADV
21,and ,9,1,CONJ
22,the ,9,1,ART
23,attempt ,9,1,SUBST
24,to ,9,1,PREP
25,account ,9,1,VERB
26,for ,9,1,PREP
27,this ,9,1,ADJ
28,feeling,9,1,SUBST
1,Looking ,10,1,VERB
2,intermittently ,10,1,ADV
3,at ,10,1,PREP
4,the ,10,1,ART
5,so-called ,10,1,ADJ
6,colonial ,10,1,ADJ
7,art ,10,1,SUBST
8,of ,10,1,PREP
9,Latin ,10,1,ADJ
10,America ,10,1,SUBST
11,in ,10,1,PREP
12,churches,10,1,SUBST
13,museums,10,1,SUBST
14,private ,10,1,ADJ
15,collections ,10,1,SUBST
16,and ,10,1,CONJ
17,books,10,1,SUBST
18,I ,10,1,PRON
19,became ,10,1,VERB
20,magnetised ,10,1,VERB
21,by ,10,1,PREP
22,the ,10,1,ART
23,figures ,10,1,SUBST
24,of ,10,1,PREP
25,angels,10,1,SUBST
1,They ,11,1,PRON
2,are ,11,1,VERB
3,extraordinarily ,11,1,ADV
4,resplendent,11,1,ADJ
1,They ,12,1,PRON
2,have ,12,1,VERB
3,a ,12,1,ART
4,material ,12,1,SUBST
5,splendour ,12,1,SUBST
6,in ,12,1,PREP
7,their ,12,1,PRON
8,dress,12,1,SUBST
1,The ,13,1,ART
2,spiritual ,13,1,ADJ
3,or ,13,1,CONJ
4,is ,13,1,VERB
5,it ,13,1,PRON
6,the ,13,1,ART
7,psychic,13,1,ADJ
8,intensity ,13,1,SUBST
9,of ,13,1,PREP
10,their ,13,1,PRON
11,presence ,13,1,SUBST
12,goes ,13,1,VERB
13,together ,13,1,ADV
14,with ,13,1,PREP
15,a ,13,1,ART
16,marvellous ,13,1,ADJ
17,air ,13,1,SUBST
18,of ,13,1,PREP
19,freedom ,13,1,SUBST
20,and ,13,1,CONJ
21,delicacy,13,1,SUBST
1,They ,14,1,PRON
2,have ,14,1,VERB
3,a ,14,1,ART
4,tendency ,14,1,SUBST
5,to ,14,1,PREP
6,expand,14,1,VERB
7,to ,14,1,PREP
8,fill ,14,1,VERB
9,the ,14,1,ART
10,picture ,14,1,SUBST
11,space,14,1,SUBST
1,If ,15,1,CONJ
2,the ,15,1,ART
3,angel ,15,1,SUBST
4,is ,15,1,VERB
5,already ,15,1,ADV
6,a ,15,1,ART
7,hybrid ,15,1,SUBST
8,a ,15,1,ART
9,human ,15,1,SUBST
10,with ,15,1,PREP
11,wings,15,1,SUBST
12,the ,15,1,ART
13,Latin ,15,1,ADJ
14,American ,15,1,ADJ
15,angels ,15,1,SUBST
16,seem ,15,1,VERB
17,to ,15,1,PREP
18,incorporate ,15,1,VERB
19,further ,15,1,ADJ
20,incongruities ,15,1,SUBST
21,into ,15,1,PREP
22,this ,15,1,ADJ
23,composite ,15,1,SUBST
24,of ,15,1,PREP
25,the ,15,1,ART
26,human ,15,1,SUBST
27,and ,15,1,CONJ
28,the ,15,1,ART
29,supernatural ,15,1,ADJ
30,which ,15,1,PRON
31,hints ,15,1,VERB
32,at ,15,1,PREP
33,further,15,1,ADV
34,latent ,15,1,ADJ
35,meanings,15,1,SUBST
1,I ,16,1,PRON
2,knew ,16,1,VERB
3,that ,16,1,CONJ
4,these ,16,1,ADJ
5,paintings ,16,1,SUBST
6,were ,16,1,VERB
7,produced ,16,1,VERB
8,for ,16,1,PREP
9,the ,16,1,ART
10,Spanish ,16,1,ADJ
11,in ,16,1,PREP
12,the ,16,1,ART
13,decades ,16,1,SUBST
14,after ,16,1,PREP
15,their ,16,1,PRON
16,conquest ,16,1,SUBST
17,of ,16,1,PREP
18,Latin ,16,1,ADJ
19,America,16,1,SUBST
20,and ,16,1,CONJ
21,represented ,16,1,VERB
22,the ,16,1,ART
23,christianising ,16,1,SUBST
24,of ,16,1,PREP
25,the ,16,1,ART
26,old ,16,1,ADJ
27,centres ,16,1,SUBST
28,of ,16,1,PREP
29,Inca ,16,1,ADJ
30,culture,16,1,SUBST
31,in ,16,1,PREP
32,Peru ,16,1,SUBST
33,and ,16,1,CONJ
34,Bolivia ,16,1,SUBST
35,especially,16,1,ADV
1,I ,17,1,PRON
2,knew ,17,1,VERB
3,that ,17,1,CONJ
4,in ,17,1,PREP
5,the ,17,1,ART
6,main ,17,1,SUBST
7,they ,17,1,PRON
8,were ,17,1,VERB
9,painted ,17,1,VERB
10,by ,17,1,PREP
11,Indian ,17,1,ADJ
12,and ,17,1,CONJ
13,mestizo ,17,1,SUBST
14,artists ,17,1,SUBST
15,at ,17,1,PREP
