sentence-index,sentence,text-index
1,BEING DRAWN TO AN IMAGE,1
2,Guy Brett,1
3,"Why do certain images matter to one, and why is the desire to answer this question as involuntary as the response itself?",1
4,"Why does it seem important that the answer should have some ‘objective’ quality about it, an insight into history, society, knowledge, point to a merely personal obsession?",1
5,"The American film-maker Maya Deren says somewhere that ‘response should always precede analysis’, a remark which sounds it was made as an artist's challenge to academic dryness and formalism.",1
6,"But is not the response and the analysis actually part of the same phenomenon, whether it results in an exclamation (‘how beautiful! ') or a new ‘reading’?",1
7,"The recourse to books, documents, or sources, underscores a perception which is somehow already in the air.",1
8,The effort to recapture art's ‘history’ is always entangled with the desire to remake its identity and meaning as part of contemporary struggles.,1
9,"This article comes the familiar experience of being drawn to a particular image, or set of images, without knowing why, and the attempt to account for this feeling.",1
10,"Looking intermittently at the so-called colonial art of Latin America in churches, museums, private collections and books, I became magnetised by the figures of angels.",1
11,They are extraordinarily resplendent.,1
12,They have a material splendour in their dress.,1
13,The spiritual (or is it the psychic?) intensity of their presence goes together with a marvellous air of freedom and delicacy.,1
14,"They have a tendency to expand, to fill the picture space.",1
15,"If the angel is already a hybrid (a human with wings), the Latin American angels seem to incorporate further incongruities into this composite of the human and the supernatural which hints at further, latent meanings.",1
16,"I knew that these paintings were produced for the Spanish in the decades after their conquest of Latin America, and represented the christianising of the old centres of Inca culture, in Peru and Bolivia especially.",1
17,I knew that in the main they were painted by Indian and mestizo artists at the command of the Europeans.,1
18,"It lodged in my mind to try and answer the question whether there was something special about the depiction of angels in post-conquest art, and if so, what it could be.",1
19,I didn't make a systematic study but I occasionally followed up clues if I came across references in books and catalogues.,1
20,I soon learned that the theme of angels was one of the most popular in the paintings produced by indigenous artists for the complex iconographic programmes of the churches and missions established by the Spanish after the conquest.,1
21,This word ‘popular’ is problematic and will be returned to later.,1
22,All colonial painting began in a process of copying.,1
23,"Indian artists were obliged, or forced, to abandon their own forms of representation and learn the European way.",1
24,"But after a period of sheer copying, some themes took off.",1
25,Some developed differently in the American context.,1
26,Why did angels especially flourish?,1
27,"As I investigated further, it seemed to become clear that if this question could be answered it could only be in a complex way.",1
28,"These paintings, in other words, could only be read as the site of a complex play of forces.",1
29,They were not simply transcriptions of the power of the conquerors and the coercive force with which they attempted to annihilate the existing culture and beliefs of the Indians and impose Christianity.,1
30,"Nor, obviously, were they a simple expression of Indian resistance to this assault.",1
31,In some way they were both these things .,1
32,The more I looked into it the more the paintings seemed to go beyond simple unitary ideas of authorship and meaning.,1
33,The Peruvian art historian Luis Enrique Tord has written:,1
34,"The Spanish conquest of the Inca empire had a profound impact on many aspects of Indian society, but the most serious blows suffered by the Andean peoples were administered by the Church.",1
