Timestamp,The application is easy to use and understand without having to read the instructions exhaustively.,A satisfying on-line system exists to help you overcome difficulties.,The objective of the app and its results are clear.,The content is validated and contains no orthographic errors.,There are no pervasive or negative messages and no racial or religion discrimination.,The content is related with situations and problems of your interest.,"Examples, simulations and graphs are part of the system.",The educational software is easily integrated with other educational environments.,"It allows for configuration (level, language etc.)",An evaluation system is included during the development process.,It uses new learning techniques and improved learning. ,Keeps the user curious and interested in the content without provoking anxiety.,Different activity types are provided as for the knowledge acquisition that enable different forms of using the system.,Guided activities are provided as help for the user.,The app encourages the user to make choices to personalise their learning experience.,"It's easy to memorise, learn and experiment with the learning material.",There is no excess of information.,"There is a rigorous scenario design that includes title, menus, and multimedia.",The program structure is good and allows easy access to content and activities.,"The speed of communication between the program and the user (presentation of contents, reading of data etc.) is adequate.",The program execution is efficient and with no operational errors.,"The navigation system is transparent, allowing the user to control actions.",The system has been developed with originality.,What did you like the most about our app?,What do you think we should improve?,Any suggestion to improve the chatbot?
2020/12/27 12:31:36 pm CET,4,3,5,3,5,4,3,4,3,4,4,4,4,4,5,3,2,3,4,5,4,4,4,I liked choosing what I prefer to read ,"When we ask for the meaning of a word, the /continue et the /explanations, are not clear on what they are doing. 
And when we have the score after the 60 questions, we don't know what it means, it's just a number ",
2020/12/27 12:37:40 pm CET,3,3,2,5,5,5,3,4,1,5,4,4,2,2,2,4,2,1,2,5,3,3,5,It's an innovative and fun way to improve your vocabulary. I was especially positively surprised when the pronunciation was sent as a voice message by telegram. ,"I chose to learn about conversations. Many words couldn't find a definition, probably because they were vocalised hesitations (Like ""Er""). Overall I felt like the corpus about conversations was not very suitable for learning.

Also, when the score is given, I have no idea what it represents (is that % ?)

Also, does the exercise about sentences end ? I gave up because there was no quit Button, and I didn't know if it would ever stop.",
2020/12/27 12:52:06 pm CET,4,4,3,4,4,4,3,4,3,4,4,4,3,4,3,3,3,4,2,3,4,3,4,,,
2020/12/27 1:10:39 pm CET,3,1,4,5,5,5,3,1,2,5,3,2,1,4,4,2,2,5,5,5,5,5,5,,,
2020/12/27 1:10:48 pm CET,3,5,1,4,5,5,3,1,3,5,4,4,2,5,5,5,4,5,5,5,5,5,4,,,
2020/12/27 1:11:01 pm CET,4,3,5,5,5,3,3,1,3,5,5,4,1,5,4,4,5,5,4,5,5,5,5,,,
2020/12/27 1:12:56 pm CET,3,1,5,5,5,4,3,1,2,5,4,5,1,5,5,5,5,5,5,5,5,5,5,La possibilità di scegliere nelle frasi la parola di cui si vuole conoscere il significato,Le frasi proposte non erano adeguate al mio livello,
2020/12/27 1:37:08 pm CET,5,1,5,3,5,5,1,1,3,5,4,5,4,5,5,3,5,3,5,5,5,5,4,"The UX's very fluid, it's easy to use, and has a lot of potential. The audio with the pronunciation's a nice addition.","- bug: when you play a pronunciation, the other pronunciations downloaded beforehand start playing afterwards
- typographic cleanness in definitions
- initial 0 0 0 in the first three words in the test is misleading",
2020/12/27 2:13:43 pm CET,4,2,5,2,5,3,3,4,4,5,5,3,3,4,5,5,3,3,5,4,3,5,5,"To listen pronunciation, it's so useful","Improve stop words in order to exclude words like 'the',  'of', etc. in words list to explain",
2020/12/27 2:15:51 pm CET,5,4,4,5,5,3,5,5,3,5,4,2,4,3,4,4,4,3,4,5,5,5,4,The speed of the bot's answers ,An explication of how the words are used like in this sentence ,
2020/12/27 2:42:54 pm CET,4,3,5,4,5,2,2,3,4,5,3,4,2,2,5,4,2,3,5,5,5,5,5,it is an original idea,the corpus needs to be expanded,
2020/12/27 6:09:08 pm CET,3,3,3,5,5,4,1,3,1,5,3,4,1,3,2,3,1,3,3,3,4,3,4,Once you start getting the training text it is interesting and engaging,A more clean and simple interface,Simplify the text or restrict the target to just certain levels and format the text better (Use all caps or bold text)
2020/12/27 6:12:26 pm CET,4,3,5,5,5,4,3,4,3,5,4,3,4,5,5,4,5,5,5,4,4,3,5,"I really liked that you used British English and not American English, but that might just be patriotism speaking haha. 

Overall, I found it to be an excellent bot for vocabulary improvement :) ","I've been told the app is in beta, which is fine. The app seems to be on the right track, and the things I mention will probably already be on the development list. I would first diversify and expand the definitions of some words, for example, some abbreviations (CBE for example) aren't explained, yet are part of the vocabulary expanding texts, including these definitions. Expanding the range of texts should also be a priority; the fiction option is empty.  ","I have the impression that this app was developed for people with a medium level of English, however, if that were not the case, and the app were aimed at people with lower English levels; I would try to simplify the language used by the chat-bot. People with lower levels of English may not be able to understand the instructions fully. 

During the test, I found that the ""correct/wrong answer"" messages and the next word messages would appear one after the other really quickly and it would take a moment to adjust my gaze and discern what was on screen. 

I'm pretty sure the text selection is based on the vocabulary score, however I think that mentioning that explicitly before the test begins would be a welcome addition."
